"s","is","trig"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#hasInitialStateAtTime","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINER","https://w3id.org/framester/wn/wn30/instances/supersense-noun_location"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#PART_WHOLE","https://w3id.org/framester/data/framestercore/Ingestion"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#PART_WHOLE","https://w3id.org/framester/data/framestercore/Needing"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#PART_WHOLE","https://w3id.org/framester/vn/vn31/data/Underlie_47080000"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#PART_WHOLE","https://w3id.org/framester/data/framestercore/Placing"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#PART_WHOLE","https://w3id.org/framester/wn/wn30/instances/synset-full-adjective-1"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#PART_WHOLE","https://w3id.org/framester/wn/wn30/instances/synset-technology-noun-1"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#PART_WHOLE","https://w3id.org/framester/data/framestercore/Fullness"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#PART_WHOLE","https://w3id.org/framester/wn/wn30/instances/supersense-noun_group"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/data/framestercore/Ingestion"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/data/framestercore/Needing"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/vn/vn31/data/Underlie_47080000"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/data/framestercore/Placing"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/wn/wn30/instances/synset-full-adjective-1"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/wn/wn30/instances/synset-technology-noun-1"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/data/framestercore/Fullness"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/wn/wn30/instances/supersense-noun_group"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#SUPPORT","https://w3id.org/framester/data/framestercore/Ingestion"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#SUPPORT","https://w3id.org/framester/data/framestercore/Needing"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#SUPPORT","https://w3id.org/framester/vn/vn31/data/Underlie_47080000"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#SUPPORT","https://w3id.org/framester/data/framestercore/Placing"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#SUPPORT","https://w3id.org/framester/wn/wn30/instances/synset-full-adjective-1"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#SUPPORT","https://w3id.org/framester/wn/wn30/instances/synset-technology-noun-1"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#SUPPORT","https://w3id.org/framester/data/framestercore/Fullness"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#SUPPORT","https://w3id.org/framester/wn/wn30/instances/supersense-noun_group"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#GOAL","https://w3id.org/framester/data/framestercore/Ingestion"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#GOAL","https://w3id.org/framester/data/framestercore/Needing"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#GOAL","https://w3id.org/framester/vn/vn31/data/Underlie_47080000"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#GOAL","https://w3id.org/framester/data/framestercore/Placing"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#GOAL","https://w3id.org/framester/wn/wn30/instances/synset-full-adjective-1"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#GOAL","https://w3id.org/framester/wn/wn30/instances/synset-technology-noun-1"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#GOAL","https://w3id.org/framester/data/framestercore/Fullness"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Transition","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#GOAL","https://w3id.org/framester/wn/wn30/instances/supersense-noun_group"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#Process","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINMENT","https://w3id.org/framester/data/framestercore/Placing"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#hasFinalStateAtTime","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINER","https://w3id.org/framester/data/framestercore/ProcessEnd"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#hasFinalStateAtTime","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#CONTAINER","https://w3id.org/framester/wn/wn30/instances/supersense-noun_location"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#hasFinalStateAtTime","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#SOURCE_PATH_GOAL","https://w3id.org/framester/data/framestercore/ProcessEnd"
"http://www.ontologydesignpatterns.org/cp/owl/transition.owl#hasFinalStateAtTime","http://www.ontologydesignpatterns.org/ont/is/isaac_vanilla.owl#SOURCE_PATH_GOAL","https://w3id.org/framester/wn/wn30/instances/supersense-noun_location"